number count
10000 171
20000 214
30000 180
40000 195
50000 188
60000 188
70000 195
80000 196
90000 210
100000 201
110000 231
120000 207
130000 193
140000 211
150000 211
160000 211
170000 226
180000 211
190000 211
200000 229
210000 312
220000 325
230000 212
240000 212
250000 232
260000 222
270000 224
280000 224
290000 278
300000 230
310000 229
320000 224
330000 267
340000 234
350000 224
360000 222
370000 223
380000 223
390000 234
400000 222
410000 222
420000 236
430000 221
440000 232
450000 222
460000 222
470000 221
480000 221
490000 236
500000 221
510000 221
520000 221
530000 268
540000 270
550000 270
560000 1750
570000 236
580000 240
590000 284
600000 317
610000 254
620000 233
630000 279
640000 239
650000 341
660000 236
670000 242
680000 235
690000 304
700000 237
710000 232
720000 230
730000 232
740000 230
750000 248
760000 232
770000 260
780000 235
790000 239
800000 231
810000 235
820000 231
830000 251
840000 231
850000 231
860000 230
870000 232
880000 247
890000 295
900000 238
910000 234
920000 236
930000 232
940000 231
950000 232
960000 278
970000 239
980000 231
990000 230
1000000 239
1010000 256
1020000 230
1030000 230
1040000 245
1050000 250
1060000 375
1070000 246
1080000 246
1090000 339
1100000 246
1110000 273
1120000 246
1130000 246
1140000 258
1150000 246
1160000 247
1170000 248
1180000 255
1190000 246
1200000 246
1210000 246
1220000 246
1230000 264
1240000 246
1250000 246
1260000 246
1270000 257
1280000 256
1290000 257
1300000 256
1310000 245
1320000 302
1330000 245
1340000 244
1350000 245
1360000 249
1370000 243
1380000 275
1390000 243
1400000 263
1410000 244
1420000 243
1430000 244
1440000 244
1450000 243
1460000 243
1470000 244
1480000 307
1490000 245
1500000 259
1510000 244
1520000 244
1530000 257
1540000 244
1550000 244
1560000 296
1570000 242
1580000 285
1590000 244
1600000 247
1610000 253
1620000 256
1630000 353
1640000 242
1650000 243
1660000 244
1670000 298
1680000 242
1690000 242
1700000 248
1710000 242
1720000 242
1730000 243
1740000 242
1750000 242
1760000 242
1770000 251
1780000 242
1790000 242
1800000 242
1810000 242
1820000 254
1830000 242
1840000 253
1850000 241
1860000 241
1870000 241
1880000 250
1890000 254
1900000 243
1910000 241
1920000 243
1930000 329
1940000 242
1950000 242
1960000 241
1970000 243
1980000 243
1990000 242
2000000 241
2010000 332
2020000 255
2030000 438
2040000 268
2050000 252
2060000 246
2070000 500
2080000 252
2090000 241
2100000 253
2110000 253
2120000 289
2130000 256
2140000 252
2150000 252
2160000 253
2170000 252
2180000 343
2190000 253
2200000 428
2210000 254
2220000 252
2230000 343
2240000 325
2250000 310
2260000 312
2270000 312
2280000 334
2290000 256
2300000 267
2310000 267
2320000 265
2330000 265
2340000 273
2350000 282
2360000 264
2370000 264
2380000 264
2390000 318
2400000 264
2410000 300
2420000 263
2430000 275
2440000 264
2450000 263
2460000 300
2470000 263
2480000 262
2490000 279
2500000 261
2510000 294
2520000 261
2530000 259
2540000 260
2550000 259
2560000 260
2570000 259
2580000 258
2590000 267
2600000 257
2610000 257
2620000 257
2630000 269
2640000 264
2650000 300
2660000 256
2670000 256
2680000 264
2690000 258
2700000 276
2710000 267
2720000 340
2730000 378
2740000 260
2750000 255
2760000 319
2770000 260
2780000 321
2790000 253
2800000 253
2810000 350
2820000 265
2830000 253
2840000 253
2850000 253
2860000 259
2870000 265
2880000 261
2890000 264
2900000 253
2910000 253
2920000 254
2930000 383
2940000 263
2950000 257
2960000 253
2970000 265
2980000 253
2990000 253
3000000 254
3010000 284
3020000 297
3030000 253
3040000 253
3050000 253
3060000 316
3070000 253
3080000 253
3090000 253
3100000 261
3110000 256
3120000 266
3130000 253
3140000 253
3150000 377
3160000 324
3170000 261
3180000 259
3190000 289
3200000 264
3210000 312
3220000 349
3230000 259
3240000 254
3250000 254
3260000 253
3270000 253
3280000 297
3290000 253
3300000 255
3310000 267
3320000 253
3330000 257
3340000 253
3350000 266
3360000 253
3370000 552
3380000 290
3390000 259
3400000 296
3410000 331
3420000 255
3430000 254
3440000 275
3450000 254
3460000 255
3470000 275
3480000 255
3490000 264
3500000 253
3510000 256
