number count
1000 1200
2000 2327
3000 3313
4000 4400
5000 5697
6000 6744
7000 7826
8000 11154
9000 10652
10000 11605
11000 13037
12000 14515
13000 15530
14000 15953
15000 17785
16000 18870
17000 19374
18000 20473
19000 20648
20000 23329
21000 23866
22000 25408
23000 25569
24000 27405
25000 28058
26000 29676
27000 29777
28000 32373
29000 33988
30000 34449
31000 35905
32000 35715
33000 39509
34000 37540
35000 39741
36000 40649
37000 40123
38000 42828
39000 45426
40000 44170
41000 46442
42000 48038
43000 48938
44000 50179
45000 49684
46000 50605
47000 53050
48000 53800
49000 56742
50000 56390
51000 57280
52000 59907
53000 59664
54000 59110
55000 62487
56000 63323
57000 64196
58000 64186
59000 66519
60000 66133
61000 67961
62000 70531
63000 71283
64000 74502
65000 73067
66000 74223
67000 77182
68000 77841
69000 76945
70000 81978
71000 82976
72000 86333
73000 85106
74000 85398
75000 89920
76000 93807
77000 93048
78000 93680
79000 95081
80000 95939
81000 91297
82000 96675
83000 96113
84000 94943
85000 100568
86000 103891
87000 115028
88000 100477
89000 106165
90000 106064
91000 107787
92000 112443
93000 115305
94000 112728
95000 115344
96000 119147
97000 118978
98000 115675
99000 121982
100000 120539
101000 117891
102000 123704
103000 128308
104000 127569
105000 128269
106000 126535
107000 128591
108000 126180
109000 135180
110000 131903
111000 133368
112000 135088
113000 135726
114000 129213
115000 136174
116000 138281
117000 140533
118000 142182
119000 144176
120000 139700
121000 146843
122000 144928
123000 147383
124000 159659
125000 150974
126000 142959
127000 154617
128000 152852
129000 157311
130000 156736
131000 163967
132000 162350
133000 164966
134000 162349
135000 158826
136000 163588
137000 155888
138000 168244
139000 167831
140000 168114
141000 169994
142000 169874
143000 166255
144000 170369
145000 168099
146000 172569
147000 175354
148000 183114
149000 180051
150000 178777
151000 190647
152000 183485
153000 191617
154000 186973
155000 183648
156000 205975
157000 189949
158000 185462
159000 191225
160000 196649
161000 196101
162000 192352
163000 194778
164000 201726
165000 185938
166000 199955
167000 204028
168000 206527
169000 208138
170000 205359
171000 212887
172000 204727
173000 207333
174000 213675
175000 213197
176000 209911
177000 221723
178000 211392
179000 215498
180000 219863
181000 229245
182000 216144
183000 219401
184000 233838
185000 221026
186000 227476
187000 225796
188000 223050
189000 223058
190000 226874
191000 221591
192000 225830
193000 228932
194000 236681
195000 228306
196000 240600
197000 233419
198000 235483
199000 241167
200000 243014
201000 236946
202000 241588
203000 247255
204000 248562
205000 235848
206000 230500
207000 243982
208000 244683
209000 250130
210000 252495
211000 245960
212000 253381
213000 252981
214000 256078
215000 253312
216000 257170
217000 251165
218000 254129
219000 254697
220000 278509
221000 258329
222000 264126
223000 266132
224000 273033
225000 279076
226000 276807
227000 274154
228000 270571
229000 276661
230000 265545
231000 272439
232000 268600
233000 283813
234000 274171
235000 284418
236000 290932
237000 278289
238000 280395
239000 285602
240000 292660
241000 295089
242000 286986
243000 292496
244000 283963
245000 294817
246000 281118
247000 280320
248000 290156
249000 291715
250000 303986
251000 286865
252000 314430
253000 292145
254000 305957
255000 299699
256000 299474
257000 292990
258000 284877
