number count
10 94
20 361
30 562
40 887
50 1360
60 2045
70 2654
80 3452
90 4432
100 5404
110 6619
120 7881
130 11279
140 11266
150 12790
160 14580
170 16360
180 19671
190 27178
200 22678
210 24827
220 26896
230 28689
240 31129
250 33837
260 36656
270 39390
280 42758
290 45234
300 48537
310 51860
320 55611
330 58818
340 62574
350 66126
360 69968
370 74168
380 79312
390 84214
400 88615
410 92645
420 94968
430 99246
440 104008
450 108591
460 113774
470 119650
480 124161
490 129659
500 138534
510 141019
520 145668
530 150473
540 156373
550 165234
560 175622
570 177769
580 184079
590 190408
600 197211
610 202520
620 205822
630 212373
640 219248
650 225796
660 233242
670 245981
680 252495
690 263383
700 261205
710 269718
720 279256
730 288712
740 292960
750 301295
760 311953
770 319462
780 327958
790 339509
800 346775
810 358353
820 364741
830 365491
840 375653
850 392270
860 399572
870 408052
880 423320
890 429328
900 433239
910 438820
920 448691
930 458960
940 468175
950 481945
960 500944
970 512032
980 523585
990 532806
1000 535793
